,Date,Tweet Volume,Polarity,Retweet,Sentiment Score,Year
463,2011-05-03,6,positive,No,0.013984878040050825,2011
464,2011-05-04,3,positive,No,0.018930232558139533,2011
465,2011-05-05,9,positive,No,0.06153735258043212,2011
466,2011-05-06,7,positive,No,0.010604840002915663,2011
467,2011-05-07,16,positive,No,0.027112537027356685,2011
468,2011-05-08,23,positive,No,0.2924462716267757,2011
469,2011-05-09,15,positive,No,0.0011267879076529719,2011
470,2011-05-10,15,positive,Yes,0.03192937978358406,2011
471,2011-05-11,39,positive,Yes,0.006706874828814026,2011
472,2011-05-12,110,positive,Yes,0.18179278609483862,2011
473,2011-05-13,7,negative,No,-0.20127689144736843,2011
474,2011-05-14,4,positive,No,0.33337622820919177,2011
475,2011-05-15,4,positive,No,0.26331412320616027,2011
476,2011-05-16,2,negative,No,0.0,2011
477,2011-05-17,4,positive,No,0.04052335266993902,2011
478,2011-05-19,5,positive,No,0.06804279069767442,2011
479,2011-05-20,6,positive,No,0.05832766365379348,2011
480,2011-05-21,1,negative,No,0.0,2011
481,2011-05-22,8,positive,No,0.09105704818310556,2011
482,2011-05-23,3,negative,No,-0.5446212847325964,2011
483,2011-05-24,6,negative,No,-0.11575865057257816,2011
484,2011-05-25,1,negative,No,0.0,2011
485,2011-05-26,2,negative,No,0.0,2011
486,2011-05-27,3,positive,No,0.14345873362445416,2011
487,2011-05-28,2,negative,No,0.0,2011
488,2011-05-29,4,negative,No,-0.015534530938123741,2011
489,2011-05-30,3,positive,No,0.19905490196078432,2011
490,2011-05-31,3,positive,No,0.3918083108108108,2011
491,2011-06-01,1,negative,No,0.0,2011
492,2011-06-02,2,positive,No,0.25487938144329897,2011
